,BTCUSDT,TOMOBTC,ATOMBTC,MATICBTC,BNBBTC,ETHBTC,BTCUSDC,LINKBTC,STRATBTC,XRPBTC,XTZBTC,ENJBTC,WAVESBTC,XMRBTC,VETBTC,THETABTC,ZECBTC,BTCBUSD,TROYBTC,EOSBTC,KAVABTC,BCHBTC,LTCBTC,DATABTC,INSBTC,BATBTC,BTCTUSD,BTCPAX,RVNBTC,ADABTC,NEOBTC,WABIBTC,TRXBTC,FETBTC,XVGBTC,ALGOBTC,VITEBTC,STXBTC,MITHBTC,ONEBTC,ARPABTC,ERDBTC,FTMBTC,DASHBTC,BEAMBTC,AIONBTC,TNTBTC,VIBBTC,LSKBTC,CHZBTC,WPRBTC,XLMBTC,RENBTC,KNCBTC,ARNBTC,DOCKBTC,QTUMBTC,NANOBTC,IOTABTC,GOBTC,LOOMBTC,IOSTBTC,SNGLSBTC,ONTBTC,RLCBTC,DCRBTC,STEEMBTC,ICXBTC,ZRXBTC,QSPBTC,ZENBTC,ENGBTC,ETCBTC,NKNBTC,ZILBTC,REPBTC,FUELBTC,WTCBTC,BQXBTC,HBARBTC,POWRBTC,MANABTC,CELRBTC,FUNBTC,MTLBTC,IOTXBTC,BANDBTC,POLYBTC,DOGEBTC,CNDBTC,LENDBTC
ERDBTC,0.3105480746327034,0.2173734527941819,0.406741312028319,0.10516455691162353,0.6913655654732813,0.5223539939442073,0.3125888103316814,0.15535672691815375,0.8446063371874267,0.16910983584530706,0.8450855672881907,0.5727532523647523,0.6406493936637029,0.6717682199476174,0.3959860309738364,0.13656321288232975,0.8100611160269301,-0.5549806272985489,0.26997001802947035,0.6851855925490509,0.4858471084753313,-0.4605859813230313,0.7308739312517458,0.23726953665123188,0.5346334519928397,0.20411813810499305,0.3128495548366099,0.3129649510421051,0.5738961675630531,0.8308106388561648,0.5970436625869728,0.05670321528626042,0.7553187913946108,0.9131560987076355,0.8141700248154382,0.762293519150372,0.40299914594960995,-0.7929505823807604,0.7730470898270236,0.8186034000420633,-0.6687465260789455,1.0,0.7564409148031619,0.6921632901274852,-0.31851597398891357,0.45750065237231563,-0.10664298867403015,0.38638347121357475,0.6425670575896277,0.6213612757532258,0.08628268710264309,0.576612608289261,0.4207639923507209,0.0030313733020664846,0.6990316586397868,-0.12277398543847746,0.8635805465999686,0.5374137696527076,0.14261344283582808,0.38416070356501475,0.751706414768612,0.6743034283402748,0.08738197663256113,0.6520648830853739,-0.030968838583245704,0.6902846574973448,0.8555865017103768,0.7207357449164206,-0.07592795150573539,0.6629611718843693,0.65912976846335,0.47812797361923515,0.20092132747165262,-0.5343188552568622,0.8894274475908234,0.4487533078374014,0.32950167017398785,0.6935007954461223,0.5415953505470522,-0.6614659004662234,0.8015510335288788,0.7312157277657145,0.8864281926756467,-0.10762249864883562,0.27337553796462594,0.7011206225546862,-0.40688703224850165,0.8224391871490357,0.228408382142581,0.4735659034446497,-0.04532409683735545
FTMBTC,0.21249741405782263,0.31222758244239734,0.6192170062038914,0.17487151118199826,0.8641389158670877,0.7244876597774174,0.2153764734037166,-0.2987282143032951,0.8926042330706492,0.648196122016239,0.7291078741849818,0.8073213588699766,0.8774952910024365,0.8282380521299239,0.43795153327937686,0.7244692049224905,0.8381360798893057,-0.4370453827274499,0.5096194599137766,0.8369824839507435,0.4996703361038111,-0.027568200076017728,0.8988771919474372,0.4622708772334342,0.8489893545325368,0.5399406474898529,0.215938126311213,0.21621788722873544,0.8603568709141132,0.8698300780520206,0.5900395119253062,0.5610231716957306,0.7971187534511217,0.9227477231749857,0.8723980104504545,0.6904953786924355,-0.36985122181501534,-0.6766950116592271,0.8948104355171335,0.9013679034858297,-0.41755931434419313,0.7564409148031619,1.0,0.8501714505734378,-0.1689063310288816,0.8473175505497732,-0.32060750884617784,0.6363385140977323,0.894081507673144,0.28807193140099174,0.5408282288475609,0.8011634685489161,0.2402183267379879,0.35957014625970213,0.8596806644636578,0.21450041422217506,0.7642694894848154,0.85605252934857,0.6593247620526674,0.7540207439890606,0.8895530180705155,0.8598821441403882,0.5920258418157209,0.8159256322593124,-0.12229295277070432,0.7670926867261201,0.8978535769292306,0.9152174223527954,0.1503055450914831,0.8419328991962303,0.795497325521022,0.5147470996244524,0.7931639265596604,-0.19343840370519003,0.901205042357452,0.6990244226557563,0.7109855866668151,0.8214545871643819,0.794476045520736,-0.4837385792694992,0.9055034564507749,0.8819275436131204,0.9107830767371786,0.4309948141341323,0.6692767877976892,0.8448604611215905,-0.16148452237089705,0.9125793128283565,0.011119557719905117,0.7519954678957778,-0.12016121745181686
DASHBTC,0.3687993868159024,-0.06187139523868476,0.7806599744334236,0.04223949490884523,-0.5952348709132257,0.8164942003786291,-0.7429156339046112,-0.6897954176397583,0.9348634035868545,0.5480987109024562,-0.7875004294477392,0.12522267148729402,0.6961762198026885,0.9048578320384145,0.8697579216770526,0.5906022863477209,0.942946133557582,0.5823082609812004,-0.14973954093136474,0.3228868513314987,-0.26950202164732107,0.4741082396507713,0.6857509519419551,0.9105691834708395,0.8974051208379177,0.15316608368092585,-0.6507003465430996,-0.7481109837513616,0.5456977196313096,0.8827616813066124,0.8249639896779933,0.8868484395307905,0.2955775331790533,0.8048955112434899,0.754543183429586,0.8855541090620964,0.14820881254696588,0.7911590175694373,0.7458681016732028,0.9404084066668819,0.8144819996125383,0.6921632901274852,0.8501714505734378,1.0,0.6377087360517674,0.9283481541348394,0.7315208374594021,0.9014123529137703,0.8997644692086533,-0.6961085701891087,0.9250098576140217,0.664400345395551,-0.3677070186082064,0.8720598615981237,0.7088260402789556,0.839380169998311,0.9322489036533089,0.9181819971812129,0.8697406475908257,0.8250254200154048,0.9245180553904914,0.8542401289534826,0.8633992971237368,0.7705096225419256,0.8172610145609722,0.9239783156042696,0.9597432044492559,0.9076391245533287,0.4156742764777497,0.8733820809330921,0.910809262497833,0.7241736471598321,0.8740460191488029,0.7997728290212415,0.8120763321659534,0.8496501832708409,0.8717942905766539,0.7954842215204877,0.8416967899915179,0.8893801828648191,0.934085011499436,0.4042919005418543,0.8982568697325571,0.8545953389317095,0.7769575125846307,0.9089896344704169,0.747533921324457,0.8379379773864744,-0.04598335444871224,0.8059472848048393,0.8682537133496763
BEAMBTC,0.2460281408624227,0.00048069221806225094,-0.48389151653326723,-0.3805628715278421,-0.5432293655258067,0.39739539367665644,0.24535198298662328,-0.6715968008034188,-0.022684665086193427,-0.35956338561234774,-0.2119840809864913,-0.19074336123924449,0.6906427625312814,0.026536404593618026,-0.3838049618867683,-0.0898245525571021,0.6724097358935208,0.24530887617918049,-0.6136235642316942,0.09945669462801901,0.23500125989569412,0.25293711646863587,0.5738215837426441,-0.32364251210381006,0.0802038267805394,-0.70039157252832,0.2449059932206941,0.24526618804461833,0.2233708373808949,-0.10045076090901384,-0.5059532847284071,-0.5172683863260804,-0.6371630751728676,-0.23658678789897283,-0.2909544977199438,-0.16328237817475588,0.35904165858600395,-0.18675332501755104,0.572544264172595,-0.13459780932610405,0.3070356924524558,-0.31851597398891357,-0.1689063310288816,0.6377087360517674,1.0,-0.19797593398765048,-0.7487307768874037,-0.4346349587632543,0.6706402346254381,-0.7165780841692613,-0.2107682643606146,-0.37955866716139997,-0.2832600522793869,-0.03196267027097863,0.4051243564049771,0.08733092390370265,-0.4720535854277569,-0.485966237819485,0.2924263371111402,0.04187077767495024,0.5785877998854639,-0.25713432811533615,0.03959952478899514,-0.3839466486997659,-0.6814141747537459,-0.025442439125690487,0.11876680288707167,0.7353615722958962,-0.6970333683243185,-0.13361901023846126,-0.4824078730692855,-0.22769738077512314,0.7408484452482362,0.35791867267034794,-0.13352081213729686,-0.34946747525416066,0.24856613528370639,0.6019794746968623,0.6897498937793549,0.7256004198955669,0.5353207760977036,0.029317214454575812,0.17466804986823578,0.07629197098081657,0.05667087101393662,-0.0769375037285517,0.9084065061672121,0.5146662078764677,-0.5968105174976769,-0.0252847908442999,-0.6666932416916869
AIONBTC,0.44100190046223964,0.045915853865251016,0.8206685079463352,0.05725370231144224,-0.5151186259417336,0.8776639914262461,-0.8652640203484658,-0.5246263095511506,0.9487059057118474,0.6893131287535103,-0.08864614134597748,0.21201735563633767,0.5855255464456265,0.8960083159442687,0.956703267880105,0.5144639290593539,0.8870500581610573,0.03153178803425452,0.641181957667928,0.5447017988106606,0.11509921635544454,-0.14543416712339913,0.7404249174800869,0.9216804793480541,0.8870075855692223,0.23218787711562253,-0.7757477876341724,-0.8716586304159097,0.3860132396396295,0.9319385903947925,0.8966761888940398,0.9132974446761328,0.5679476970011035,0.8059157042533983,0.9181697061034788,0.6240845959045225,0.38440295605887725,0.34428915667487703,0.8326361838335292,0.9112211219149864,0.838858984688054,0.45750065237231563,0.8473175505497732,0.9283481541348394,-0.19797593398765048,1.0,0.859100684648726,0.9508204606715945,0.9044257502600274,0.573480611404049,0.9731362259533175,0.639143485412739,-0.3995218288266763,0.9326297286034664,0.8509281086032544,0.8344934760228725,0.9577444450196028,0.8891340939272906,0.9285234176379648,0.8536646422158332,0.9604026867143244,0.8823080383335595,0.9292566828294008,0.7647386678800029,0.8573796612242857,0.9725249059567636,0.9530727502107786,0.9611159372222129,0.588182663061726,0.9483471984980228,0.830956169251105,0.9363518066663284,0.7910831921671057,0.011143758981963823,0.7640367370962947,0.7718985741809409,0.9464327828922692,0.8549934187330357,0.9598255370277702,0.1832355611355781,0.9257581343953455,0.45845698361788567,0.8819324425967957,0.9513041679693249,0.9372501660186666,0.9109958011667013,-0.35437296705917415,0.8247558223631635,0.5228003419979055,0.8253076208385102,0.9322108382571157
TNTBTC,0.4433227767015123,-0.24369917797207327,-0.07478075740298501,0.37707495355493564,-0.41342625040914727,0.7414066269053211,0.12326562944413523,-0.1605985049739155,0.8269592634179144,0.5262200668416315,0.07118402990206013,0.1976725992132018,0.4067579358528986,0.6825197495547212,-0.25105295454228777,0.1356826740699106,0.6989358662491745,-0.42552145442787026,0.8311625545233832,0.3374960032174178,0.4035243135685769,0.16977366741216288,0.5510176476371156,0.1834879507803861,0.8391158390477411,0.17519410499951674,-0.09548963703952223,0.14404659255823785,-0.16364224141407271,0.8431366160663148,0.8020211281137997,0.8743079310374114,0.3781723244546961,-0.2568462393990432,0.7552348199052045,-0.35310566876403077,0.35131357379703765,0.06407708072015071,-0.35772672434520014,-0.36265166033226803,0.04919875898025136,-0.10664298867403015,-0.32060750884617784,0.7315208374594021,-0.7487307768874037,0.859100684648726,1.0,0.8652373183657731,0.7980329064286438,0.6189275013100688,0.7429268082087062,0.4474900523397524,0.07172693828629284,0.8580669576813937,0.7316966975385726,-0.15482870544011698,0.8549056001057879,0.7140539210946985,0.7010768719773978,-0.25092301327745026,0.5890491751252303,0.7167000199108817,0.8677718573443753,0.5776213573937492,0.7753126551045438,-0.3607145123191884,0.7677421310563338,0.876907624647032,0.40820754293341355,0.8840762701392029,0.1278139193320068,0.8175105054643824,0.5802175232355147,0.2808202050066275,0.5141628071625226,0.3049950269993488,0.8794346859202953,0.7746126217110004,0.8528107928831955,-0.2916850234145663,0.7891460099079499,0.20851210494180533,-0.2957556936212685,0.8316291677755284,0.7476432568926071,0.2351782255452871,-0.6784197924644142,-0.3550121959978524,0.8112972304408773,0.8159841730048926,0.9002146557403133
VIBBTC,0.3463868777670671,-0.20301426507694048,0.9065624897444913,0.2017889836539595,-0.48286391696889813,0.8480808634389605,-0.816873498260365,-0.5278983541069886,0.9490487720045222,0.6383527021569716,0.36058506306825416,0.24183037684621406,0.6542953992553153,0.8740714013223909,0.7009338216835098,0.6735195896498782,0.8870455211985772,-0.510664789950015,0.5311513919741094,0.3878851307506338,0.7713135395457954,0.34698976575497503,0.6954146553607179,0.9258181956138941,0.9279971165596437,0.286251590816241,-0.7910118403820187,-0.8169241050026795,0.589167170975646,0.943938238538344,0.8705972685099186,0.9453878664829306,0.41735786792833784,0.7637850158890309,0.8360766478426531,0.31377360502729884,-0.6221020746593562,-0.23886421635681274,0.6548217492468569,0.7728078441671447,-0.10621760261889258,0.38638347121357475,0.6363385140977323,0.9014123529137703,-0.4346349587632543,0.9508204606715945,0.8652373183657731,1.0,0.9246927055539593,0.5772881087674441,0.9690618580268934,0.6355539931338864,-0.43906355872364394,0.9277500998839957,0.8399498933137043,0.8556370888608588,0.9545633126145296,0.9242843393127667,0.8142361305461912,0.8211645068391307,0.9726702564181658,0.8617897646756422,0.9214290750180426,0.7795710197193408,0.8679646784410923,0.8924916495061507,0.9591735228705768,0.9505385002236593,0.47294571765284693,0.9479462862691729,0.800583850552635,0.8379291802521452,0.7702359080681468,-0.13588008009889782,0.7939119208969508,0.8679887689752674,0.9582904380387695,0.8402052443235843,0.9058449228984723,-0.19601210265628027,0.8927065678368965,0.4216777739625471,0.854427085123161,0.9040955933290088,0.8522946255390262,0.9641230196374864,-0.5140129415467467,0.8222626086905925,0.8080708589027238,0.8514980330223262,0.9412385885277477
LSKBTC,0.32026505467559807,0.1746418668597148,0.7903396340623116,0.010132584210521357,-0.4984269745464956,0.9105237145665235,-0.8259880687069564,-0.5621131007740382,0.9179728784038453,0.6501028448755758,-0.31538633202405275,0.2173217017281517,0.6031147579703298,0.913220440296646,0.9406484316362997,0.5591486434455263,0.9213415947786782,-0.03761959564157647,0.547613547242723,0.48083036833435944,0.5113103310001187,-0.10571224717649358,0.767570902379235,0.9367422773688167,0.8778058123340633,0.2275176165039176,-0.744121321618032,-0.8342416835176876,0.5051323565700363,0.8857034730624529,0.9563695764247128,0.8860348625546511,0.4414734930947294,0.8254613085431514,0.8213837295635524,0.8690354962715656,0.6214905308192417,-0.29258883128962926,0.7836958352295903,0.9644422901688074,-0.1652530768197286,0.6425670575896277,0.894081507673144,0.8997644692086533,0.6706402346254381,0.9044257502600274,0.7980329064286438,0.9246927055539593,1.0,-0.6748865422673438,0.9541708734260232,0.6623536669508511,-0.3482693805744872,0.9312180485945749,0.8287674908478122,0.8146777297156386,0.9430285109795891,0.9122136266457149,0.8301305990376029,0.8566223565799943,0.9582494572576796,0.7760555758335355,0.876885785580974,0.7620873418821776,0.770548506578769,0.9602998530122676,0.9258801278824752,0.9177264947028781,0.5636344825700679,0.9327112822882317,0.9107579212796755,0.8784885214120216,0.8619802015283562,0.5218226741192848,0.778392578871252,0.8293011497192477,0.9160050211168904,0.9290397927411104,0.9240370700725884,0.7333173639376085,0.8929467946475338,0.44753777308666337,0.9237162888814173,0.9052868011871781,0.8454627237178082,0.9263030475132034,0.7432229710532927,0.8398048174116616,-0.1033508176266444,0.9048256558248658,0.8825353113946962
CHZBTC,-0.3262472086687734,0.14366907437809306,0.6800491358602959,0.4410835714006075,0.6483498650920948,-0.033261745823949244,-0.32935894079542655,0.6391730289360824,0.012336939769699455,0.18779522361393686,0.36809180848075623,0.24177203592462954,-0.7867029119270739,0.19751069400327312,0.7044502226755296,-0.005157551930785648,-0.7430350156116344,-0.18253936470731422,0.8066928830022164,0.14547410185599344,0.420242188343413,0.31919976047497983,-0.39853772230890455,0.43240399066775037,-0.34714343983624885,0.7185613446072732,-0.32928681298035517,-0.32920984907110773,-0.3870599406038687,0.37556031444390237,0.8611946831273081,0.8302416016398096,0.7335950025373924,0.2940930794099911,0.4760275298891228,0.2750151063327485,0.7587033422099765,0.12800642954795954,-0.739214278348284,0.05206913902234896,0.545796037192931,0.6213612757532258,0.28807193140099174,-0.6961085701891087,-0.7165780841692613,0.573480611404049,0.6189275013100688,0.5772881087674441,-0.6748865422673438,1.0,0.34242363947352145,0.5978126030160187,0.3003788823648052,0.03499658310861396,-0.14905907227961257,-0.031304329949237396,0.7622956256314276,0.775533457985245,-0.15208278971244477,0.03394222548073465,-0.5080498484180289,0.5727067253860035,0.16068613374163912,0.7326754158207242,0.8987333635266321,0.4324752494007656,0.03254826767544549,-0.6691343920568892,0.5374088640092172,0.2592790054746898,0.6807179791411214,0.3837896557988066,-0.5876715814345089,-0.5621323226108829,0.31060977660518607,0.7339613004141715,-0.05705737588111513,-0.6074505018743585,-0.7987228341632231,-0.6623455578911207,-0.4027971895314009,-0.09593423697842422,-0.14699387802046057,0.12924699165262626,0.13545828826661738,0.15765073147229522,-0.82017211387331,-0.4811663219980896,0.5126224492208734,0.29081519697782726,0.8727196213735574
WPRBTC,-0.07057228957319062,-0.14972573660685196,0.9054909948476833,0.2950142105457345,-0.384059441880872,0.8540588562006303,-0.9232723546326258,-0.5986910554873278,0.9546349523929636,0.6227164426241014,0.4860756635335509,0.0982593011866909,0.5354696191528567,0.9284323994613521,0.7829773593840855,0.5596455790181722,0.8608558191483131,-0.6430433851998152,0.8444462212262878,0.804344419065232,0.34798399407451497,0.19660922594799998,0.6521530443950987,0.9526067873224038,0.9640751458359262,0.28262546275723216,-0.8479844544261449,-0.9236746464040879,0.26559570504570157,0.9187511866123753,0.964088211666935,0.9124182261948232,0.7125442105263862,0.8916061586845836,0.9515314862726937,0.13412287736765574,0.5097294381374528,-0.6266540485538157,0.8836847222492656,0.715921402312222,-0.5785857415072746,0.08628268710264309,0.5408282288475609,0.9250098576140217,-0.2107682643606146,0.9731362259533175,0.7429268082087062,0.9690618580268934,0.9541708734260232,0.34242363947352145,1.0,0.7172621460984241,-0.3669233164010438,0.9389114023233671,0.8978247343230804,0.9201200242164637,0.9702339258547815,0.9600444773929259,0.9256638442967952,0.9463185371491405,0.9723786418891814,0.90627851147381,0.973610547787599,0.8053439046612971,0.7980158565288431,0.9428010045394531,0.9539856659047653,0.9580902079705401,0.735809276851362,0.9501707351893327,0.8491848596178808,0.920043275570136,0.7724894496010275,-0.12133644456520397,0.8126741020596242,0.7963899422732076,0.9862783801925967,0.941488494712547,0.9449767622314887,-0.293473021832581,0.9054447734598685,0.678816047292635,0.9277700760212328,0.9216535072698888,0.9712260228383147,0.9547554356834199,-0.22061694117660038,0.9609993441221806,0.708762053017023,0.9807743111072281,0.9749515875901578
