,BTCUSDT,TOMOBTC,ATOMBTC,MATICBTC,BNBBTC,ETHBTC,BTCUSDC,LINKBTC,STRATBTC,XRPBTC,XTZBTC,ENJBTC,WAVESBTC,XMRBTC,VETBTC,THETABTC,ZECBTC,BTCBUSD,TROYBTC,EOSBTC,KAVABTC,BCHBTC,LTCBTC,DATABTC,INSBTC,BATBTC,BTCTUSD,BTCPAX,RVNBTC,ADABTC,NEOBTC,WABIBTC,TRXBTC,FETBTC,XVGBTC,ALGOBTC,VITEBTC,STXBTC,MITHBTC,ONEBTC,ARPABTC,ERDBTC,FTMBTC,DASHBTC,BEAMBTC,AIONBTC,TNTBTC,VIBBTC,LSKBTC,CHZBTC,WPRBTC,XLMBTC,RENBTC,KNCBTC,ARNBTC,DOCKBTC,QTUMBTC,NANOBTC,IOTABTC,GOBTC,LOOMBTC,IOSTBTC,SNGLSBTC,ONTBTC,RLCBTC,DCRBTC,STEEMBTC,ICXBTC,ZRXBTC,QSPBTC,ZENBTC,ENGBTC,ETCBTC,NKNBTC,ZILBTC,REPBTC,FUELBTC,WTCBTC,BQXBTC,HBARBTC,POWRBTC,MANABTC,CELRBTC,FUNBTC,MTLBTC,IOTXBTC,BANDBTC,POLYBTC,DOGEBTC,CNDBTC,LENDBTC
CELRBTC,-0.6317821661952859,0.22831209849673034,0.7770113290395886,0.2371765018868973,0.8223768490815286,0.8651963559229574,-0.6303621182332396,-0.6386206904032977,0.9482242342744033,0.9308758501098497,0.47739586417926355,0.9243331680049907,0.9530084886234443,0.9039140809281813,0.8400776802647963,0.9428310465318447,0.916226949723341,-0.5257061807708414,0.37942076468414476,0.8907181824253414,0.4002274555019915,-0.25692792947741006,0.8725619930103631,0.9008901221282912,0.941201164895196,0.792298518898737,-0.6300937801582044,-0.6298628464191931,0.9599877483879371,0.9350295089339232,0.8949058613070614,0.8544244665987747,0.9302236897033253,0.9790992052804797,0.9154768370967711,0.9169809472068238,0.6812025549962881,-0.7004232463999213,0.9338056583417569,0.9768119677470891,-0.6590800014215266,0.8893318844840252,0.9130283681352946,0.898647986114268,0.16398923626416834,0.8826275775163388,-0.29486402201071643,0.8580661410719963,0.9264733670935867,-0.14653015552672252,0.9294643040596616,0.9392183220048854,-0.17268196661122945,0.907112579006366,0.9489009850533474,0.858983317703962,0.9374521413156871,0.8321572827656827,0.9226016695687591,0.9393190039509218,0.956138489929598,0.8805168719635925,0.928801040989943,0.94702754242846,0.5554043380115344,0.87021087866426,0.9646914075541054,0.9285182841388137,0.8510575664842113,0.9417513233903119,0.7954618752674321,0.894809571030533,0.889465466426871,0.018476906920140663,0.9533632235496273,0.8390343126625167,0.9519462977248178,0.8510495304765743,0.9443290735742409,-0.08944865590619634,0.9414164947203204,0.9483250388990401,1.0,0.8650365695510304,0.8891061038520744,0.906769752243414,0.2547998557305826,0.967419906504927,0.07399220851142777,0.9205920361364448,0.525952319687966
FUNBTC,0.2712274219309432,0.06021476975886448,0.8701657920852617,0.18698501406824172,-0.5021111324671179,0.908983399966114,-0.9197863357098861,-0.57052694056345,0.9330006361917887,0.6919831498219403,0.44599965732319197,0.18383268425486532,0.5735509103837227,0.9038400234972227,0.9341486360059822,0.4336197986024025,0.8989742999416627,-0.5348076769964883,-0.4291537938682666,0.48207525121240796,0.2880631227919598,-0.15680472331106854,0.6480061670931417,0.9189513482365441,0.9044913848518067,0.27642686557459456,-0.7766295150677732,-0.9234817251102934,0.32427154772963834,0.9505326840362402,0.8995006663004462,0.9080465847614887,0.5320492918227684,0.8249444052199386,0.8181607124693149,-0.06552563857588707,0.7965558974348428,-0.501419207414644,0.8511735531160323,0.6899961743545081,-0.3739471213618249,-0.10887326820250118,0.40439413261843593,0.8522698931470392,0.08348883339287431,0.9561085091069635,0.8338211905439954,0.9055739619294277,0.9037595896448657,0.1238172595791891,0.9205079408799701,0.7316990747020704,-0.4666018442781684,0.9196587586791675,0.8560633976025799,0.8118849143117312,0.9250164709302958,0.8775696647275807,0.8397681759127016,0.7995874649817984,0.9288408660219776,0.8890802292717616,0.7498377847219381,0.8217144385237545,0.8419013090519094,0.9539386308242723,0.9695356807812375,0.9613466977640258,0.6175927172355284,0.958542993652435,0.941643037772971,0.9289163412487016,0.8357850351450705,0.13823256839121167,0.8533456389937616,0.7768089641358027,0.95560521937203,0.8667912796471425,0.9316079243932277,0.24021179713351606,0.9153447735582155,0.5238093687907307,0.8650365695510304,1.0,0.602046314321175,0.8551584471717059,-0.03428612641259636,0.7784325306449015,0.6274923895629184,0.8417395114933551,0.946257717462383
MTLBTC,0.17695758318612928,0.09119648664057715,0.829263910142905,0.06187966431352228,-0.6107123775412723,0.5696149952798552,-0.7665751362431608,-0.4775234127048266,0.6880830763234961,0.3739822874039204,-0.06584385535206994,0.041901191937917734,0.6046202448293084,0.855531513831637,0.8992034568914152,0.6039306464583168,0.8625932986998404,-0.23529619777326785,0.7438029911182533,-0.0004688440711471817,0.2078669550135828,-0.09675356845423648,0.3934096966568114,0.9248502661249669,0.8149132312129725,0.04911455064009673,-0.7185714113762345,-0.7678015514883397,0.604300838327381,0.8177244599773212,0.5818579773888246,0.8181156218587124,0.20277427984159316,0.7839589675883188,0.4109849677892393,0.3449760376684141,-0.5888173004405792,-0.18418857484096113,0.598475225755462,0.7471899113984959,0.2573374891325153,0.2922256915004991,0.6561630094643698,0.7844791789110253,0.03759584518379267,0.9435780103098861,0.7566478336304884,0.861740472234374,0.8459450040361735,0.14814585059965635,0.9712082360425867,0.5514869135978281,-0.3977198586079649,0.6928537206121299,0.6615663750510484,0.8860218142514547,0.7028968850144904,0.8946169897973285,0.511265262385985,0.7919539599035144,0.9684294451833866,0.8386766975135219,0.8796744232019483,0.7026501522276718,0.8261688606269266,0.8716357947079186,0.9199513206918173,0.8796339383112973,0.10525999942323193,0.8369212491168411,0.8151798375025768,0.43052695741516334,0.6122906169496596,0.0440974066074322,0.7043507211673535,0.8008403086275308,0.8201625960697895,0.5976789447737225,0.5613088231225594,0.5505700545001833,0.7818904870596862,0.3177940017765825,0.8891061038520744,0.602046314321175,1.0,0.9346055294062303,-0.07437529837507992,0.7816909242203719,0.3989815741023883,0.780267721810606,0.8100588020473289
IOTXBTC,-0.4525601192004447,0.01808023015767797,0.8420893681357324,0.07015955813493133,-0.09471871746762452,0.883818698657945,-0.8359674428740271,-0.7240297287789579,0.935954865475659,0.6864166424056065,0.03694113882062717,0.1741179190111766,0.5399770526730083,0.8715259979373225,0.7484493304316876,0.6505929412750069,0.8777289964914787,-0.23672351702653477,0.622411564046481,0.9311904178401614,0.5284813506580145,0.24731623592174176,0.5762058488572805,0.9475124028362965,0.9294119375645881,0.47829108882003735,-0.7787989796336185,-0.8435603517478177,0.5376340010374647,0.922126858274779,0.921719398256004,0.8405605959529652,0.7390674260729782,0.8247247730189572,0.9530109117317742,0.6637010799839634,-0.4254814716983815,-0.3485918103674454,0.767953162397482,0.9224300751055805,0.2679450228888523,0.6951196143755443,0.8398212399047184,0.9088002605260769,-0.08132383770628712,0.9113631332509498,0.23528017083064628,0.9651513987476725,0.9257963074778792,0.15261777406044408,0.9545383856828394,0.7515961269064851,-0.3531080570397732,0.9156383272109645,0.8824855752101299,0.9078272198157332,0.9465498645926897,0.8784667530961456,0.9363168376726465,0.914554688913858,0.9581879028364837,0.9335026568260754,0.9585458975105164,0.9137156470067076,0.8122709008576192,0.9486130922511058,0.9304286845238593,0.9326015011426001,0.8401104535782056,0.9618001698089707,0.7758117613933235,0.9225044911828398,0.8097360913087557,0.48475617066351384,0.944659343531041,0.8269928785831974,0.9675347178739907,0.9290260260284623,0.8859233379184647,0.23392463879525732,0.8832517675733481,0.8077335046347589,0.906769752243414,0.8551584471717059,0.9346055294062303,1.0,-0.10077340449331605,0.9049648103303879,0.4992105093956189,0.9675129798302112,0.92101295866282
BANDBTC,0.3411983468793008,-0.20164004908661537,-0.6490418618896948,-0.34456677068228275,-0.49993919294930655,0.48415985408101775,0.3433976512860837,-0.7430534702920354,-0.06598215914983037,-0.18652056000310108,-0.3789289802314054,-0.2961189807524751,0.6684254268893046,0.04081868259415494,-0.5495874576978217,-0.1309174374151449,0.7368009178157003,0.31481273815178723,0.23558864875079633,0.07825114668564075,0.11597628581971103,-0.314496642832514,0.6081860857314041,-0.35169544235769834,0.0826608843300582,-0.7429355503341988,0.34287170228909397,0.3422630374682783,0.41529232396426713,-0.10699127009197355,-0.7249347858203852,-0.7074947156473205,-0.7545962038920622,-0.243951970834675,-0.4023235478377118,-0.24633080939631824,0.8468065757402689,-0.2124005847808368,0.6604881283515538,-0.017576016121510257,0.1180139275478059,-0.43416109925748037,-0.1797946755133205,0.7551128925054743,0.9020969991783472,-0.3214526733435217,-0.6582113388823094,-0.5151363609356243,0.7474520179100106,-0.8419801086018424,-0.2291281387111112,-0.390337774212478,-0.20130398983396677,-0.056100136806333,0.44821529552975586,0.27669012639607543,-0.6869575540410354,-0.5908223187052306,0.43783673794662414,-0.08672108555049618,0.5686290046553891,-0.3985205192505655,-0.018371599577977873,-0.563259255420661,-0.8350008736333552,-0.26001970083196413,0.05423648833570176,0.7880049878942964,-0.5863792877882986,-0.22642888750512982,-0.6309487865712442,-0.2911677109477283,0.7944767729733619,0.7232007114244721,-0.18368228772498765,-0.5293834488525682,0.3865092314829962,0.6998385006790768,0.8100724654685703,0.8077085509793839,0.5315409386595922,0.07558599588081946,0.2547998557305826,-0.03428612641259636,-0.07437529837507992,-0.10077340449331605,1.0,0.553583974762242,-0.5306563153202396,-0.1407050403427416,-0.8043950571035734
POLYBTC,-0.7390689551549947,0.4328819375221005,0.8073315996031663,0.02711232104696217,-0.3573861274614087,0.7527790845703758,-0.8607058339985285,-0.8188347737154503,0.9295276292419399,0.8557375321701121,0.10702430992204469,0.06441103411575672,0.6653356405875417,0.8736846077063246,0.7474232743495374,0.31939972260937927,0.9124951637693577,-0.03548623743329921,-0.4193383737156957,0.7011798013194851,0.02213746754553164,-0.222481734023804,0.16671946639342883,0.9380115285179389,0.8602775399488046,0.4112230212792797,-0.7593673579384971,-0.8686408625824015,0.24135880169910368,0.7616967244418126,0.823222664976266,0.516993968984858,0.6301972976132284,0.8971039666288062,0.9259367985708975,0.9172840993790146,0.9155752968273831,-0.35578650128076994,0.8949157515686271,0.9662567401134502,-0.19556549722101887,0.8258397981563244,0.9109978162496157,0.8384330035284064,0.5205329121046726,0.8274767342854101,-0.35229892295556103,0.8258796556102141,0.8414806706863028,-0.4968233532061385,0.9614047865443703,0.942259049165821,-0.28943247442424813,0.7896256263203091,0.7973704219415282,0.8983983091274004,0.9011881793091858,0.7878552726624969,0.9062910489027731,0.9471940533425097,0.9013658447880573,0.6988272807287389,0.8786354181604641,0.7528080686441643,0.34100079539095196,0.9342379681198841,0.8609858019996465,0.8499151407897995,0.9219291326927518,0.8989188144809972,0.7664877887217101,0.7760343568499799,0.8181349839038703,0.3470062880902068,0.9298201479931405,0.5839332101512525,0.9285897759807473,0.7983585492397536,0.8361181515449749,0.4538446074558662,0.8949268427956906,0.9384029229536729,0.967419906504927,0.7784325306449015,0.7816909242203719,0.9049648103303879,0.553583974762242,1.0,0.04239425371419288,0.8496912476556459,0.8250899046900775
DOGEBTC,-0.5691229107478136,-0.049249951351554584,0.6962687776301374,0.3708006965968861,0.08276040611335252,0.6292681168594277,-0.5693152956702685,0.830949156243425,0.3019256460389698,0.8265022542728526,0.23559309709795184,0.40563222539045046,-0.13468881567996607,-0.13216335561683779,0.5562667385584927,0.026839714345302947,0.044642759898518715,-0.5113921867080217,0.1159131054210457,0.31829679638156066,0.7687722645989453,0.33629543438537896,0.04184682195787699,0.5124533835954913,0.15782263031611185,0.8783735860869081,-0.5688512299316802,-0.5683065853956071,0.2854550646409377,0.46081777858762496,0.5685456348056522,0.5787812640477359,0.5798396234032271,0.19727305439596576,0.37583225029074424,-0.09241346838965836,-0.5267865840075201,-0.18298439750359746,-0.017927796229565633,-0.07272437800063998,-0.035719689471873546,0.27287579090973046,0.055528468446900084,-0.021870190251867542,-0.5886064367880256,0.5223387999733681,0.8001457735127911,0.8254131648605745,-0.0926597132363617,0.5355761276679326,0.7073390859999139,0.7429298258044092,0.048368369533255115,0.44656271512507967,0.4382755405723006,0.6600847165708578,0.2901772556994285,0.5112369221503186,0.6613345594141442,0.34016503632038003,0.08259578360404209,-0.043834298039072725,0.7677882254376563,0.4124434474897054,0.624010639523794,0.04530865695962182,0.24076920724952638,0.049157925670924606,0.8319753122159816,0.6463980071854893,0.4756408937777207,0.4422022419561169,-0.276372544950251,0.43084833625094926,0.1751310494766396,0.5823899256632585,0.5439343588545984,-0.13240630450620675,-0.26717256267326706,-0.12962072283937542,0.20898995238456614,0.3967891277749259,0.07399220851142777,0.6274923895629184,0.3989815741023883,0.4992105093956189,-0.5306563153202396,0.04239425371419288,1.0,0.6762518250613454,0.617607665374476
CNDBTC,0.187342113573877,-0.02203186144922455,0.8835289064146903,0.16988675519348212,-0.3943881025962987,0.8682673502138754,-0.8493189158229927,-0.4782352897445362,0.8341911900407156,0.6549392259430628,0.7132776284512028,0.30525662309289514,0.5557306927855037,0.8333365699277505,0.7554650747007713,0.7235690800635803,0.8229934081269087,-0.7041872372358595,0.022534211886740176,0.5400863084291824,0.32095492044991164,-0.3858114620605175,0.701034476025306,0.9194556922304814,0.9142342618950775,0.3497414681450669,-0.83623915477993,-0.8496571552274667,0.587449039158112,0.8393000037097026,0.9335842020761886,0.860992961743748,0.5005354400484787,0.8575146689866999,0.7271073793886033,0.39558487528704506,0.8741152707309258,-0.7338716828818597,0.6982968195178069,0.8774782783064562,-0.7013587362564254,0.47951214114966,0.7424344022044312,0.8119391666734217,-0.045222718260350354,0.8298152267106211,0.8141668609403149,0.8549977223816445,0.9118247495805233,0.3011425510810724,0.9814691313381569,0.6764252617722318,-0.4200764544878893,0.9091534978789165,0.8447903206588633,0.8840708804016287,0.8507919106224392,0.9277369305673056,0.7408819591688003,0.8706045068051386,0.9696474493023284,0.8025195982754862,0.8529079151698818,0.7344402392633231,0.7753887097643682,0.9237574251513679,0.9302928749106373,0.8875156959506472,0.5987345463102949,0.9004046431709881,0.8236895881441896,0.8547728483570813,0.7650034071669133,-0.3106959307579542,0.753135934791019,0.8744322168707875,0.8647379130576255,0.9531091678405467,0.8730878647642555,-0.30485189677723673,0.8410543319631306,0.4690264409473795,0.9205920361364448,0.8417395114933551,0.780267721810606,0.9675129798302112,-0.1407050403427416,0.8496912476556459,0.6762518250613454,1.0,0.8330321937007663
LENDBTC,0.3733206063950842,-0.0523896391010376,0.5029733337366264,0.4865283673171581,-0.46667621497666956,0.831163137958271,-0.8747536454443245,-0.4403595089199033,0.938742015079933,0.7539697441002919,0.5714257803924513,0.27514456912172297,0.5891212017364649,0.823982006967621,0.7551311941557213,0.5827406275187396,0.8470242722338293,-0.3737006839211925,0.5863075328143204,0.4518616303019691,0.5356227052321051,-0.18108400486663215,0.6543167556404058,0.9307726507400721,0.963996719800205,0.3283623891787728,-0.8216785731427524,-0.877308742581293,0.2826893673922083,0.9461810781979918,0.8630358627695239,0.955726516172266,0.5575583327964028,0.6282945524973683,0.8524338824908397,-0.3292666612588411,0.6230318326692421,-0.3166090687815947,0.6413200393876497,-0.06780696519463597,-0.15030814083823946,-0.03756719553431661,-0.13191871900498744,0.868904856078689,-0.6739026386017978,0.9380437245092442,0.902082642431769,0.9421818718652472,0.8785067167910228,0.8804401698535046,0.9748186327109705,0.64403755377837,-0.4385440864161892,0.9126149219689365,0.8685012000712848,0.871948045443197,0.9234229542191617,0.9118762480835033,0.8311982299289249,0.8300071956089242,0.9501758773359135,0.8575832018012669,0.950664636575879,0.7832472565503196,0.8425349551655573,0.8173862842087863,0.9554288095894857,0.9436879415501163,0.5813700883167501,0.9599311552686869,0.8092278887692724,0.9258896194157183,0.7472865268203979,-0.6564897914294725,0.8031035250199191,0.8171090388044319,0.9761351578269479,0.8128304451052094,0.9251266158764928,-0.751064739760345,0.9338335622958107,0.43898458371997534,0.525952319687966,0.946257717462383,0.8100588020473289,0.92101295866282,-0.8043950571035734,0.8250899046900775,0.617607665374476,0.8330321937007663,1.0
